dataset,encoder,target,head,T,k_shot,run,seed_type,seed,n_train,test_acc,baseline_acc,delta_acc,final_train_loss,checkpoint_epoch,checkpoint_train_loss
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,12,5shot,0,subset,0,500,0.2406240552663803,0.2166216671466827,0.0240023881196976,84.56408728027344,181,80.99689855957031
fgvc_aircraft,dinov2_vits14,image_prototype,fm_rollout,4,5shot,0,subset,0,500,0.17611761391162872,0.2166216671466827,-0.04050405323505399,4.027448860168457,199,4.027448860168457
fgvc_aircraft,dinov2_vits14,image_prototype,fm_rollout,12,5shot,0,subset,0,500,0.24122412502765656,0.2166216671466827,0.024602457880973844,4.331650466918945,199,4.331650466918945
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,4,5shot,1,subset,1,500,0.24722471833229065,0.233123317360878,0.014101400971412659,86.91356329345703,181,81.81123236083984
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,12,5shot,1,subset,1,500,0.25682568550109863,0.233123317360878,0.023702368140220642,86.91356329345703,181,81.81123236083984
fgvc_aircraft,dinov2_vits14,image_prototype,fm_rollout,4,5shot,1,subset,1,500,0.18091809749603271,0.233123317360878,-0.052205219864845276,4.076756320953369,199,4.076756320953369
fgvc_aircraft,dinov2_vits14,image_prototype,fm_rollout,12,5shot,1,subset,1,500,0.2442244291305542,0.233123317360878,0.011101111769676208,4.43963761138916,199,4.43963761138916
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,4,5shot,2,subset,2,500,0.2430243045091629,0.2436243593692779,-0.0006000548601149958,87.98926989746094,181,77.74701135253906
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,12,5shot,2,subset,2,500,0.25712570548057556,0.2436243593692779,0.013501346111297663,87.98926989746094,181,77.74701135253906
fgvc_aircraft,dinov2_vits14,image_prototype,fm_rollout,4,5shot,2,subset,2,500,0.19201920926570892,0.2436243593692779,-0.051605150103568975,4.036111667633056,199,4.036111667633056
fgvc_aircraft,dinov2_vits14,image_prototype,fm_rollout,12,5shot,2,subset,2,500,0.2466246634721756,0.2436243593692779,0.0030003041028976996,4.416339569091797,199,4.416339569091797
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,4,10shot,0,subset,0,1000,0.29462945461273193,0.2913291454315185,0.0033003091812134344,105.56661987304688,190,91.69054370117188
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,12,10shot,0,subset,0,1000,0.30603060126304626,0.2913291454315185,0.014701455831527765,105.56661987304688,190,91.69054370117188
fgvc_aircraft,dinov2_vits14,image_prototype,fm_rollout,4,10shot,0,subset,0,1000,0.3429342806339264,0.2913291454315185,0.05160513520240789,1.7091851587295532,199,1.7091851587295532
fgvc_aircraft,dinov2_vits14,image_prototype,fm_rollout,12,10shot,0,subset,0,1000,0.40384039282798767,0.2913291454315185,0.11251124739646917,1.496226481437683,199,1.496226481437683
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,4,10shot,1,subset,1,1000,0.2895289659500122,0.269426941871643,0.020102024078369196,107.61547650146484,185,93.83537017822266
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,12,10shot,1,subset,1,1000,0.29492950439453125,0.269426941871643,0.02550256252288824,107.61547650146484,185,93.83537017822266
fgvc_aircraft,dinov2_vits14,image_prototype,fm_rollout,4,10shot,1,subset,1,1000,0.3366336524486542,0.269426941871643,0.06720671057701116,1.8079560718536376,195,1.7478477115631104
fgvc_aircraft,dinov2_vits14,image_prototype,fm_rollout,12,10shot,1,subset,1,1000,0.4140413999557495,0.269426941871643,0.1446144580841065,1.5983816471099854,195,1.5607460956573487
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,4,10shot,2,subset,2,1000,0.27632763981819153,0.2733273208141327,0.003000319004058838,103.22292407226563,185,89.77921337890625
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,12,10shot,2,subset,2,1000,0.28652864694595337,0.2733273208141327,0.013201326131820679,103.22292407226563,185,89.77921337890625
fgvc_aircraft,dinov2_vits14,image_prototype,fm_rollout,4,10shot,2,subset,2,1000,0.32673266530036926,0.2733273208141327,0.05340534448623657,1.6652626571655273,199,1.6652626571655273
fgvc_aircraft,dinov2_vits14,image_prototype,fm_rollout,12,10shot,2,subset,2,1000,0.3969396948814392,0.2733273208141327,0.12361237406730652,1.5702385787963866,199,1.5702385787963866
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,4,full,0,init,0,3334,0.34263426065444946,0.3441344201564789,-0.001500159502029419,99.64769618555538,192,96.5566149953603
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,12,full,0,init,0,3334,0.37293729186058044,0.3441344201564789,0.028802871704101562,99.64769618555538,192,96.5566149953603
fgvc_aircraft,dinov2_vits14,image_prototype,fm_rollout,4,full,0,init,0,3334,0.3540354073047638,0.3441344201564789,0.009900987148284912,96.56472271677256,188,0.1115299068261709
fgvc_aircraft,dinov2_vits14,image_prototype,fm_rollout,12,full,0,init,0,3334,0.37083709239959717,0.3441344201564789,0.026702672243118286,0.0965103779946821,199,0.0965103779946821
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,4,full,1,init,1,3334,0.3513351380825043,0.3441344201564789,0.007200717926025391,96.25209005135008,181,93.67425031839335
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,12,full,1,init,1,3334,0.3807380795478821,0.3441344201564789,0.0366036593914032,96.25209005135008,181,93.67425031839335
